"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"COL","2019","34","483","527","57","56","1","55.777","65.602","-9.825","10.825","42","40.895"
"NYRB","2018","34","456","377","61","32","29","60.1848","42.3458","17.839","11.161","71","59.418"
"COL","2016","34","435","419","39","32","7","35.4761","39.938","-4.4619","11.462","58","44.299"
"POR","2013","34","445","429","53","33","20","44.3904","35.8786","8.5118","11.4882","57","51.638"
"LAG","2016","34","358","523","52","38","14","48.2975","47.0403","1.2572","12.7428","52","48.634"
"NYC","2019","34","516","393","63","39","24","57.2039","46.144","11.0599","12.9401","64","53.73"
"POR","2014","34","474","463","58","48","10","48.2165","52.2971","-4.0807","14.0807","49","44.73"
"DCU","2018","34","396","546","59","49","10","47.035","52.0055","-4.9706","14.9706","51","44.263"
"VAN","2013","34","438","514","53","41","12","40.5342","44.4432","-3.909","15.909","48","43.705"
"DCU","2019","34","428","578","41","37","4","43.68","55.6637","-11.9837","15.9837","50","39.772"
"SEA","2018","34","430","455","49","36","13","45.8883","49.1508","-3.2625","16.2625","59","44.7"
"RSL","2013","34","449","394","56","41","15","45.1696","46.5998","-1.4302","16.4302","56","46.071"
"NYRB","2013","34","404","453","56","39","17","47.2681","47.1166","0.1515","16.8485","59","46.82"
"DCU","2014","34","366","457","48","37","11","36.1258","46.0214","-9.8956","20.8956","59","40.791"
"RSL","2014","34","441","467","53","39","14","42.9639","50.5911","-7.6272","21.6272","56","43.275"
"TOR","2017","34","441","404","71","37","34","52.3922","41.9368","10.4554","23.5446","69","54.298"
"ATL","2017","34","438","401","69","37","32","50.1464","44.1832","5.9633","26.0368","55","50.055"
