"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Paul Arriola","DCU","2019","M","675000","707000","2019-09-13"
"Bacary Sagna","MTL","2019","D","660000","705000","2019-09-13"
"Luciano Acosta","DCU","2019","M","600000","702000","2019-09-13"
"Dax McCarty","CHI","2019","M","700000.08","700000.08","2019-09-13"
"Osvaldo Alonso","MIN","2019","D","650000.04","697500.04","2019-09-13"
"Graham Zusi","SKC","2019","D","625000.08","688333.41","2019-09-13"
"Justin Meram","ATL","2019","M","650004","678754","2019-09-13"
"Matt Besler","SKC","2019","D","574997.64","674997.64","2019-09-13"
"Francisco Calvo","CHI","2019","D","600000","672600","2019-09-13"
"Jamiro Monteiro","PHI","2019","M","618000","671200","2019-09-13"
"Sergio Santos","PHI","2019","F","600000","668500","2019-09-13"
"Angelo Rodríguez","MIN","2019","F","600000","667187.5","2019-09-13"
"Christian Ramirez","HOU","2019","F","600000","666250","2019-09-13"
"Darlington Nagbe","ATL","2019","M","665499.96","665499.96","2019-09-13"
"Kellyn Acosta","COL","2019","D","549999.96","664999.96","2019-09-13"
"Alexander Callens","NYC","2019","D","600000","664000","2019-09-13"
"Chris Mavinga","TOR","2019","D","600000","663333.33","2019-09-13"
"Przemyslaw Frankowski","CHI","2019","M","450000","661687.5","2019-09-13"
"Hwang In-Beom","VAN","2019","M","600000","655000","2019-09-13"
"Alberth Elis","HOU","2019","M","650340","650340","2019-09-13"
"Maxime Chanot","NYC","2019","D","650000.04","650000.04","2019-09-13"
"Bryan Acosta","FCD","2019","M","600000","650000","2019-09-13"
"Tommy Smith","COL","2019","D","600000","640000","2019-09-13"
"Maikel van der Werff","CIN","2019","D","549999.96","635166.63","2019-09-13"
"Jordan Morris","SEA","2019","F","499500","619600","2019-09-13"
"Jorge Villafaña","POR","2019","D","600000","617500","2019-09-13"
"Florian Jungwirth","SJE","2019","D","550008","616675.07","2019-09-13"
"Cristian Higuita","ORL","2019","M","474996","611662.67","2019-09-13"
"Jorge Moreira","POR","2019","D","545454.6","607954.6","2019-09-13"
"Juan Agudelo","NER","2019","F","574999.92","604999.92","2019-09-13"
"Claude Dielna","POR","2019","D","560000.04","600000.04","2019-09-13"
"Gustav Svensson","SEA","2019","D","570000","600000","2019-09-13"
"Nicolas Benezet","TOR","2019","M","600000","600000","2019-09-13"
"Walker Zimmerman","LAFC","2019","D","600000","600000","2019-09-13"
"Kelvin Leerdam","SEA","2019","D","549999.96","599999.96","2019-09-13"
"Cristian Roldan","SEA","2019","M","460000.08","596541.68","2019-09-13"
"Andrew Wooten","PHI","2019","F","510000","595833.33","2019-09-13"
"Haris Medunjanin","PHI","2019","M","550008","595008","2019-09-13"
"Vito Mannone","MIN","2019","GK","540000","594000","2019-09-13"
"Wil Trapp","CLB","2019","M","549996","593746","2019-09-13"
"Santiago Mosquera","FCD","2019","M","500000.04","591400.04","2019-09-13"
"Guram Kashia","SJE","2019","D","590000.04","590000.04","2019-09-13"
"Favio Álvarez","LAG","2019","M","525000","586250","2019-09-13"
"Cristian Colmán","FCD","2019","F","500000.04","585000.04","2019-09-13"
"Wilfried Zahibo","NER","2019","M","513000","583000","2019-09-13"
"Joe Corona","LAG","2019","M","549999.96","578499.96","2019-09-13"
"Johan Kappelhof","CHI","2019","D","549999.96","577833.29","2019-09-13"
"Matt Hedges","FCD","2019","D","550008","575008","2019-09-13"
"Diego Chara","POR","2019","M","550000.08","568750.08","2019-09-13"
"Leonardo Jara","DCU","2019","D","500000.04","560000.04","2019-09-13"
"Romell Quioto","HOU","2019","M","506668.08","556501.41","2019-09-13"
"Gerso","SKC","2019","M","550008","550008","2019-09-13"
"Andre Blake","PHI","2019","GK","500004","550004","2019-09-13"
"Cristian Penilla","NER","2019","M","500000.04","550000.04","2019-09-13"
"Cristian Espinoza","SJE","2019","M","500000.04","550000.04","2019-09-13"
"Steven Birnbaum","DCU","2019","D","525000","550000","2019-09-13"
"Danny Hoesen","SJE","2019","F","500000.04","549666.71","2019-09-13"
"Brad Smith","SEA","2019","D","529092","549092","2019-09-13"
"Anton Tinnerholm","NYC","2019","D","496800","546800","2019-09-13"
"Kevin Molino","MIN","2019","M","500004","546254","2019-09-13"
"Romario Ibarra","MIN","2019","M","500000.04","546250.04","2019-09-13"
"Danny Wilson","COL","2019","D","500000.04","540000.04","2019-09-13"
"Youness Mokhtar","CLB","2019","M","459996","533845","2019-09-13"
"Lee Nguyen","LAFC","2019","M","525000","530000","2019-09-13"
"Joevin Jones","SEA","2019","M","482004","528670.67","2019-09-13"
"Oriol Rosell","ORL","2019","D","522499.92","522499.92","2019-09-13"
"Zdenek Ondrasek","FCD","2019","F","400000.08","522250.08","2019-09-13"
"Bressan","FCD","2019","D","485300.04","521931.29","2019-09-13"
"Darren Mattocks","CIN","2019","F","519999.96","519999.96","2019-09-13"
"Tomás Martínez","HOU","2019","M","335004","517929","2019-09-13"
"Nedum Onuoha","RSL","2019","D","450000","504000","2019-09-13"
"Xavier Arreaga","SEA","2019","D","393600","500850","2019-09-13"
"Felipe","DCU","2019","M","500000.04","500000.04","2019-09-13"
"Juan Fernando Caicedo","NER","2019","F","500000.04","500000.04","2019-09-13"
"Alexandru Mitrita","NYC","2019","M","500000.04","500000.04","2019-09-13"
"Michael Barrios","FCD","2019","M","500000.04","500000.04","2019-09-13"
"Jefferson Savarino","RSL","2019","M","475008","498695.65","2019-09-13"
"Aníbal Godoy","SJE","2019","D","450000","498125","2019-09-13"
"Leonardo Bertone","CIN","2019","M","450000","496666.67","2019-09-13"
"Eduard Atuesta","LAFC","2019","D","474999.96","492999.96","2019-09-13"
"Will Johnson","ORL","2019","M","455004","491004","2019-09-13"
"Luis Robles","NYRB","2019","GK","490000.08","490000.08","2019-09-13"
"Bill Hamid","DCU","2019","GK","461820","487495","2019-09-13"
"Sebastián Méndez","ORL","2019","D","450000","486750","2019-09-13"
"C.J. Sapong","CHI","2019","F","475000.08","475000.08","2019-09-13"
"Perry Kitchen","LAG","2019","D","450000","474166.67","2019-09-13"
"Pablo Aránguiz","FCD","2019","M","406666.68","466666.68","2019-09-13"
"Benny Feilhaber","SKC","2019","M","413400","463400","2019-09-13"
"Carlos Ascues","ORL","2019","D","420000","451500","2019-09-13"
"Magnus Eriksson","SJE","2019","M","450000","450000","2019-09-13"
"Josué Colmán","ORL","2019","M","450000","450000","2019-09-13"
"Erik Godoy","VAN","2019","D","381818.16","449318.16","2019-09-13"
"Jack Price","COL","2019","M","429999.96","437499.96","2019-09-13"
"Laurent Ciman","TOR","2019","D","399999.96","435624.96","2019-09-13"
"Antonio Mlinar Delamea","NER","2019","D","425004","425004","2019-09-13"
"Ronald Matarrita","NYC","2019","D","300000","420000","2019-09-13"
"Uriel Antuna","LAG","2019","M","420000","420000","2019-09-13"
"Romain Métanire","MIN","2019","D","305000.04","411833.37","2019-09-13"
"Artur","CLB","2019","D","360000","411633.33","2019-09-13"
"Ethan Finlay","MIN","2019","M","400008","400008","2019-09-13"
"Sean Johnson","NYC","2019","GK","399999.96","399999.96","2019-09-13"
"Ebenezer Ofori","NYC","2019","D","324999.96","399999.96","2019-09-13"
"Michaell Chirinos","VAN","2019","M","360000","396875","2019-09-13"
"Tomás Conechny","POR","2019","M","396000","396000","2019-09-13"
"Kekuta Manneh","CIN","2019","M","375000","391666.67","2019-09-13"
"Caleb Stanko","CIN","2019","D","337500","390833.33","2019-09-13"
"Marcos López","SJE","2019","D","279999.96","387749.96","2019-09-13"
"Kemar Lawrence","NYRB","2019","D","339999.96","382749.96","2019-09-13"
"Alex Bono","TOR","2019","GK","350000.04","382000.04","2019-09-13"
"Ismael Tajouri-Shradi","NYC","2019","M","350000.04","380500.04","2019-09-13"
"Drew Moor","TOR","2019","D","375000","375000","2019-09-13"
"David Bingham","LAG","2019","GK","375000","375000","2019-09-13"
"Marquinhos Pedroso","DCU","2019","D","375000","375000","2019-09-13"
"Ike Opara","MIN","2019","D","350000.04","367916.71","2019-09-13"
"Justen Glad","RSL","2019","D","345000","366700","2019-09-13"
"Harrison Afful","CLB","2019","D","288099.96","363799.96","2019-09-13"
"David Ousted","CHI","2019","GK","268181.88","361136.43","2019-09-13"
"Kai Wagner","PHI","2019","D","318000","360150","2019-09-13"
"Rodney Wallace","SKC","2019","M","360000","360000","2019-09-13"
"Emerson Hyndman","ATL","2019","M","360000","360000","2019-09-13"
"Will Bruin","SEA","2019","F","350000.04","358333.37","2019-09-13"
"Ilsinho","PHI","2019","M","330000","357000","2019-09-13"
"Eloy Room","CLB","2019","GK","300000","354694.33","2019-09-13"
"Diego Rubio","COL","2019","F","324999.96","353749.96","2019-09-13"
"Darwin Cerén","HOU","2019","D","300000","349375","2019-09-13"
"Diego Palacios","LAFC","2019","D","324000","348000","2019-09-13"
"Andrew Farrell","NER","2019","D","209229.96","344229.96","2019-09-13"
"Miguel Ibarra","MIN","2019","M","309996","342318","2019-09-13"
"Sam Nicholson","COL","2019","M","300000","342073","2019-09-13"
"Tim Melia","SKC","2019","GK","325008","341674.67","2019-09-13"
"Marc Rzatkowski","NYRB","2019","M","300000","341666.67","2019-09-13"
"David Guzmán","CLB","2019","D","320000.04","340000.04","2019-09-13"
"Stefan Frei","SEA","2019","GK","325000.08","337500.08","2019-09-13"
"Thomás Chacón","MIN","2019","M","324999.96","336999.96","2019-09-13"
"Luis Díaz","CLB","2019","M","300000","333900","2019-09-13"
